2022-12-01 18:44:41.413:   WARNING: Cannot create remote cache directory //assetcache/assetcache/assetcache_wot/
2022-12-01 18:44:41.480:   ERROR: DirectoryWatcher::addChild: tried to replace existing watcher vertices_manager.cpp
2022-12-01 18:44:41.480:   ERROR: DirectoryWatcher::addChild: tried to replace existing watcher visual_manager.cpp
2022-12-01 18:44:41.480:   ERROR: DirectoryWatcher::addChild: tried to replace existing watcher render_target.cpp
2022-12-01 18:44:41.480:   ERROR: DirectoryWatcher::addChild: tried to replace existing watcher managed_effect.cpp
2022-12-01 18:44:41.480:   ERROR: DirectoryWatcher::addChild: tried to replace existing watcher effect_material.cpp
2022-12-01 18:44:41.480:   ERROR: DirectoryWatcher::addChild: tried to replace existing watcher vertex_format_cache.cpp
2022-12-01 18:44:41.480:   ERROR: DirectoryWatcher::addChild: tried to replace existing watcher primitive.cpp
2022-12-01 18:44:41.480:   ERROR: DirectoryWatcher::addChild: tried to replace existing watcher vertices.cpp
2022-12-01 18:44:41.480:   ERROR: DirectoryWatcher::addChild: tried to replace existing watcher visual.cpp
2022-12-01 18:44:41.480:   ERROR: DirectoryWatcher::addChild: tried to replace existing watcher drr_render_target.cpp
2022-12-01 18:44:41.480:   ERROR: DirectoryWatcher::addChild: tried to replace existing watcher primitive_file.cpp
2022-12-01 18:44:41.480:   ERROR: DirectoryWatcher::addChild: tried to replace existing watcher vertex_streams.cpp
2022-12-01 18:44:41.480:   ERROR: DirectoryWatcher::addChild: tried to replace existing watcher datasection.cpp
2022-12-01 18:44:41.480:   ERROR: DirectoryWatcher::addChild: tried to replace existing watcher data_section_census.cpp
2022-12-01 18:44:41.480:   ERROR: DirectoryWatcher::addChild: tried to replace existing watcher binary_block.cpp
2022-12-01 18:44:41.480:   ERROR: DirectoryWatcher::addChild: tried to replace existing watcher xml_section.cpp
2022-12-01 18:44:41.480:   ERROR: DirectoryWatcher::addChild: tried to replace existing watcher bin_section.cpp
2022-12-01 18:44:41.480:   ERROR: DirectoryWatcher::addChild: tried to replace existing watcher packed_section.cpp
2022-12-01 18:44:41.480:   ERROR: DirectoryWatcher::addChild: tried to replace existing watcher xml_special_chars.cpp
2022-12-01 18:44:41.480:   ERROR: DirectoryWatcher::addChild: tried to replace existing watcher xml_import_loader.cpp
2022-12-01 18:44:41.480:   ERROR: DirectoryWatcher::addChild: tried to replace existing watcher windowing_winapi.cpp
2022-12-01 18:44:41.480:   ERROR: DirectoryWatcher::addChild: tried to replace existing watcher interface.cpp
2022-12-01 18:44:41.480:   ERROR: DirectoryWatcher::addChild: tried to replace existing watcher resource_creator.cpp
2022-12-01 18:44:41.480:   ERROR: DirectoryWatcher::addChild: tried to replace existing watcher resource_operations.cpp
2022-12-01 18:44:41.480:   ERROR: DirectoryWatcher::addChild: tried to replace existing watcher utils.cpp
2022-12-01 18:44:41.480:   ERROR: DirectoryWatcher::addChild: tried to replace existing watcher utils_device.cpp
2022-12-01 18:44:41.480:   ERROR: DirectoryWatcher::addChild: tried to replace existing watcher utils.cpp
2022-12-01 18:44:41.480:   ERROR: DirectoryWatcher::addChild: tried to replace existing watcher utils_format.cpp
2022-12-01 18:44:41.480:   ERROR: DirectoryWatcher::addChild: tried to replace existing watcher utils_device.cpp
2022-12-01 18:44:41.481:   ERROR: DirectoryWatcher::addChild: tried to replace existing watcher particle_system_action.cpp
2022-12-01 18:44:41.481:   ERROR: DirectoryWatcher::addChild: tried to replace existing watcher particle_system.cpp
2022-12-01 18:44:41.481:   ERROR: DirectoryWatcher::addChild: tried to replace existing watcher options.cpp
2022-12-01 18:44:41.481:   ERROR: DirectoryWatcher::addChild: tried to replace existing watcher terrain_renderer2.cpp
2022-12-01 18:44:41.481:   ERROR: DirectoryWatcher::addChild: tried to replace existing watcher terrain_block2.cpp
2022-12-01 18:44:41.481:   ERROR: DirectoryWatcher::addChild: tried to replace existing watcher terrain_height_map2.cpp
2022-12-01 18:44:41.481:   ERROR: DirectoryWatcher::addChild: tried to replace existing watcher base_terrain_block.cpp
2022-12-01 18:44:41.481:   ERROR: DirectoryWatcher::addChild: tried to replace existing watcher terrain_index_buffer.cpp
2022-12-01 18:44:41.481:   ERROR: DirectoryWatcher::addChild: tried to replace existing watcher terrain_photographer.cpp
2022-12-01 18:44:41.481:   ERROR: DirectoryWatcher::addChild: tried to replace existing watcher vertex_lod_entry.cpp
2022-12-01 18:44:41.481:   ERROR: DirectoryWatcher::addChild: tried to replace existing watcher terrain_vertex_lod.cpp
2022-12-01 18:44:41.481:   ERROR: DirectoryWatcher::addChild: tried to replace existing watcher terrain_texture_layer.cpp
2022-12-01 18:44:41.481:   ERROR: DirectoryWatcher::addChild: tried to replace existing watcher editor_base_terrain_block.cpp
2022-12-01 18:44:41.481:   ERROR: DirectoryWatcher::addChild: tried to replace existing watcher horizon_shadow_map2.cpp
2022-12-01 18:44:41.481:   ERROR: DirectoryWatcher::addChild: tried to replace existing watcher editor_vertex_lod_manager.cpp
2022-12-01 18:44:41.481:   ERROR: DirectoryWatcher::addChild: tried to replace existing watcher terrain_normal_map2.cpp
2022-12-01 18:44:41.481:   ERROR: DirectoryWatcher::addChild: tried to replace existing watcher editor_terrain_block2.cpp
2022-12-01 18:44:41.481:   ERROR: DirectoryWatcher::addChild: tried to replace existing watcher terrain_texture_layer2.cpp
2022-12-01 18:44:41.481:   ERROR: DirectoryWatcher::addChild: tried to replace existing watcher aliased_height_map.cpp
2022-12-01 18:44:41.481:   ERROR: DirectoryWatcher::addChild: tried to replace existing watcher ttl2cache.cpp
2022-12-01 18:44:41.481:   ERROR: DirectoryWatcher::addChild: tried to replace existing watcher bsp.cpp
2022-12-01 18:44:41.481:   ERROR: DirectoryWatcher::addChild: tried to replace existing watcher material_kinds.cpp
2022-12-01 18:44:41.481:   ERROR: DirectoryWatcher::addChild: tried to replace existing watcher clip.cpp
2022-12-01 18:44:41.481:   ERROR: DirectoryWatcher::addChild: tried to replace existing watcher animator.cpp
2022-12-01 18:44:41.481:   ERROR: DirectoryWatcher::addChild: tried to replace existing watcher clip_data.cpp
2022-12-01 18:44:41.481:   ERROR: DirectoryWatcher::addChild: tried to replace existing watcher clip_manager.cpp
2022-12-01 18:44:41.481:   ERROR: DirectoryWatcher::addChild: tried to replace existing watcher sound_manager.cpp
2022-12-01 18:44:41.481:   ERROR: DirectoryWatcher::addChild: tried to replace existing watcher sound_log.cpp
2022-12-01 18:44:41.481:   ERROR: DirectoryWatcher::addChild: tried to replace existing watcher chunk.cpp
2022-12-01 18:44:41.481:   ERROR: DirectoryWatcher::addChild: tried to replace existing watcher chunk_manager.cpp
2022-12-01 18:44:41.481:   ERROR: DirectoryWatcher::addChild: tried to replace existing watcher base_chunk_space.cpp
2022-12-01 18:44:41.481:   ERROR: DirectoryWatcher::addChild: tried to replace existing watcher chunk_terrain.cpp
2022-12-01 18:44:41.481:   INFO: Registering factory for terrain
2022-12-01 18:44:41.481:   ERROR: DirectoryWatcher::addChild: tried to replace existing watcher geometry_mapping.cpp
2022-12-01 18:44:41.481:   ERROR: DirectoryWatcher::addChild: tried to replace existing watcher client_chunk_space.cpp
2022-12-01 18:44:41.481:   ERROR: DirectoryWatcher::addChild: tried to replace existing watcher chunk_space.cpp
2022-12-01 18:44:41.481:   ERROR: DirectoryWatcher::addChild: tried to replace existing watcher chunk_model.cpp
2022-12-01 18:44:41.481:   INFO: Registering factory for model
2022-12-01 18:44:41.481:   ERROR: DirectoryWatcher::addChild: tried to replace existing watcher chunk_tree.cpp
2022-12-01 18:44:41.481:   INFO: Registering factory for speedtree
2022-12-01 18:44:41.481:   ERROR: DirectoryWatcher::addChild: tried to replace existing watcher editor_chunk_item.cpp
2022-12-01 18:44:41.481:   ERROR: DirectoryWatcher::addChild: tried to replace existing watcher chunk_loader.cpp
2022-12-01 18:44:41.481:   ERROR: DirectoryWatcher::addChild: tried to replace existing watcher chunk_quad_tree.cpp
2022-12-01 18:44:41.481:   ERROR: DirectoryWatcher::addChild: tried to replace existing watcher chunk_model_obstacle.cpp
2022-12-01 18:44:41.481:   ERROR: DirectoryWatcher::addChild: tried to replace existing watcher editor_group.cpp
2022-12-01 18:44:41.481:   ERROR: DirectoryWatcher::addChild: tried to replace existing watcher editor_chunk_cache_base.cpp
2022-12-01 18:44:41.481:   ERROR: DirectoryWatcher::addChild: tried to replace existing watcher chunk_obstacle.cpp
2022-12-01 18:44:41.481:   ERROR: DirectoryWatcher::addChild: tried to replace existing watcher chunk_processor_manager.cpp
2022-12-01 18:44:41.482:   ERROR: DirectoryWatcher::addChild: tried to replace existing watcher undoredo.cpp
2022-12-01 18:44:41.482:   ERROR: DirectoryWatcher::addChild: tried to replace existing watcher chunk_embodiment.cpp
2022-12-01 18:44:41.482:   ERROR: DirectoryWatcher::addChild: tried to replace existing watcher state_machine_factory.cpp
2022-12-01 18:44:41.482:   ERROR: DirectoryWatcher::addChild: tried to replace existing watcher sequence_factory.cpp
2022-12-01 18:44:41.482:   ERROR: DirectoryWatcher::addChild: tried to replace existing watcher sequence.cpp
2022-12-01 18:44:41.482:   ERROR: DirectoryWatcher::addChild: tried to replace existing watcher object_factory.cpp
2022-12-01 18:44:41.482:   ERROR: DirectoryWatcher::addChild: tried to replace existing watcher skeleton_modifier_feature.cpp
2022-12-01 18:44:41.482:   ERROR: DirectoryWatcher::addChild: tried to replace existing watcher compound_assembly.cpp
2022-12-01 18:44:41.482:   ERROR: DirectoryWatcher::addChild: tried to replace existing watcher editor_terrain_outland.cpp
2022-12-01 18:44:41.482:   ERROR: DirectoryWatcher::addChild: tried to replace existing watcher editor_chunk_cache.cpp
2022-12-01 18:44:41.482:   ERROR: DirectoryWatcher::addChild: tried to replace existing watcher lod_settings.cpp
2022-12-01 18:44:41.482:   ERROR: DirectoryWatcher::addChild: tried to replace existing watcher lod_distance_bias.cpp
2022-12-01 18:44:41.482:   ERROR: DirectoryWatcher::addChild: tried to replace existing watcher time_of_day.cpp
2022-12-01 18:44:41.482:   ERROR: DirectoryWatcher::addChild: tried to replace existing watcher enviro_minder.cpp
2022-12-01 18:44:41.482:   ERROR: DirectoryWatcher::addChild: tried to replace existing watcher font.cpp
2022-12-01 18:44:41.482:   ERROR: DirectoryWatcher::addChild: tried to replace existing watcher font_metrics.cpp
2022-12-01 18:44:41.482:   ERROR: DirectoryWatcher::addChild: tried to replace existing watcher font_manager.cpp
2022-12-01 18:44:41.482:   ERROR: DirectoryWatcher::addChild: tried to replace existing watcher sun_and_moon.cpp
2022-12-01 18:44:41.482:   ERROR: DirectoryWatcher::addChild: tried to replace existing watcher z_buffer_occluder.cpp
2022-12-01 18:44:41.482:   ERROR: DirectoryWatcher::addChild: tried to replace existing watcher occlusion_query_helper.cpp
2022-12-01 18:44:41.482:   ERROR: DirectoryWatcher::addChild: tried to replace existing watcher fashion.cpp
2022-12-01 18:44:41.482:   ERROR: DirectoryWatcher::addChild: tried to replace existing watcher super_model.cpp
2022-12-01 18:44:41.482:   ERROR: DirectoryWatcher::addChild: tried to replace existing watcher model.cpp
2022-12-01 18:44:41.482:   ERROR: DirectoryWatcher::addChild: tried to replace existing watcher model_factory.cpp
2022-12-01 18:44:41.482:   ERROR: DirectoryWatcher::addChild: tried to replace existing watcher model_map.cpp
2022-12-01 18:44:41.482:   ERROR: DirectoryWatcher::addChild: tried to replace existing watcher nodefull_model.cpp
2022-12-01 18:44:41.482:   ERROR: DirectoryWatcher::addChild: tried to replace existing watcher nodeless_model.cpp
2022-12-01 18:44:41.482:   ERROR: DirectoryWatcher::addChild: tried to replace existing watcher script.cpp
2022-12-01 18:44:41.482:   ERROR: DirectoryWatcher::addChild: tried to replace existing watcher py_script_output_writer.cpp
2022-12-01 18:44:41.482:   ERROR: DirectoryWatcher::addChild: tried to replace existing watcher res_mgr_import.cpp
2022-12-01 18:44:41.482:   ERROR: DirectoryWatcher::addChild: tried to replace existing watcher vector3.cpp
2022-12-01 18:44:41.482:   ERROR: DirectoryWatcher::addChild: tried to replace existing watcher vector4.cpp
2022-12-01 18:44:41.482:   ERROR: DirectoryWatcher::addChild: tried to replace existing watcher matrix.cpp
2022-12-01 18:44:41.482:   ERROR: DirectoryWatcher::addChild: tried to replace existing watcher vector2.cpp
2022-12-01 18:44:41.482:   ERROR: DirectoryWatcher::addChild: tried to replace existing watcher lineeq3.cpp
2022-12-01 18:44:41.482:   ERROR: DirectoryWatcher::addChild: tried to replace existing watcher matrix_provider.cpp
2022-12-01 18:44:41.482:   ERROR: DirectoryWatcher::addChild: tried to replace existing watcher png.cpp
2022-12-01 18:44:41.482:   ERROR: DirectoryWatcher::addChild: tried to replace existing watcher dir_section.cpp
2022-12-01 18:44:41.482:   ERROR: DirectoryWatcher::addChild: tried to replace existing watcher dataresource.cpp
2022-12-01 18:44:41.482:   ERROR: DirectoryWatcher::addChild: tried to replace existing watcher access_monitor.cpp
2022-12-01 18:44:41.482:   ERROR: DirectoryWatcher::addChild: tried to replace existing watcher py_model.cpp
2022-12-01 18:44:41.482:   ERROR: DirectoryWatcher::addChild: tried to replace existing watcher py_model_node.cpp
2022-12-01 18:44:41.482:   ERROR: DirectoryWatcher::addChild: tried to replace existing watcher static_model_sequence_wrapper.cpp
2022-12-01 18:44:41.482:   ERROR: DirectoryWatcher::addChild: tried to replace existing watcher megalods_feature.cpp
2022-12-01 18:44:41.482:   ERROR: DirectoryWatcher::addChild: tried to replace existing watcher meta_particle_system.cpp
2022-12-01 18:44:41.482:   ERROR: DirectoryWatcher::addChild: tried to replace existing watcher app_config.cpp
2022-12-01 18:44:41.482:   ERROR: DirectoryWatcher::addChild: tried to replace existing watcher static_model_instance_manager.cpp
2022-12-01 18:44:41.482:   ERROR: DirectoryWatcher::addChild: tried to replace existing watcher general_properties.cpp
2022-12-01 18:44:41.482:   ERROR: DirectoryWatcher::addChild: tried to replace existing watcher general_editor.cpp
2022-12-01 18:44:41.482:   ERROR: DirectoryWatcher::addChild: tried to replace existing watcher tool_manager.cpp
2022-12-01 18:44:41.482:   ERROR: DirectoryWatcher::addChild: tried to replace existing watcher personality.cpp
2022-12-01 18:44:41.483:   ERROR: Unable to read app_type.xml, cannot retrieve active content type
2022-12-01 18:44:41.483:   INFO: Added res path: "P:/res/.jit/output/"
2022-12-01 18:44:41.483:   INFO: Added res path: "P:/res/.jit/intermediate/"
2022-12-01 18:44:41.483:   INFO: Added res path: "P:/temp/lite_ue_1.19/res/"
2022-12-01 18:44:41.484:   INFO: Moo::init: Render device init with options={Graphics API: Null render device}, selection reason: Asset Processor, available: true 
2022-12-01 18:44:41.487:   INFO: This adapter supports A8R8G8B8 back buffers
2022-12-01 18:44:41.487:   INFO: Adapter memory: dedicatedVideo 0, dedicatedSystem 0, sharedSystem 0
2022-12-01 18:44:41.487:   INFO: RenderSystem::createDevice - available texture memory after create: 0kb
2022-12-01 18:44:41.488:   INFO: Loading Plugin texture_converter as specified in file
2022-12-01 18:44:41.488:   INFO: Loading plugin file P:/temp/lite_ue_1.19/asset_pipeline/texture_converter.dll
2022-12-01 18:44:41.491:   ERROR: DirectoryWatcher::addChild: tried to replace existing watcher atlas_texture.cpp
2022-12-01 18:44:41.491:   ERROR: DirectoryWatcher::addChild: tried to replace existing watcher texture_compressor.cpp
2022-12-01 18:44:41.491:   ERROR: DirectoryWatcher::addChild: tried to replace existing watcher render_system.cpp
2022-12-01 18:44:41.491:   ERROR: DirectoryWatcher::addChild: tried to replace existing watcher bw_resil.cpp
2022-12-01 18:44:41.491:   ERROR: DirectoryWatcher::addChild: tried to replace existing watcher texture_manager.cpp
2022-12-01 18:44:41.491:   ERROR: DirectoryWatcher::addChild: tried to replace existing watcher graphics_settings_picker.cpp
2022-12-01 18:44:41.491:   ERROR: DirectoryWatcher::addChild: tried to replace existing watcher graphics_settings.cpp
2022-12-01 18:44:41.491:   ERROR: DirectoryWatcher::addChild: tried to replace existing watcher vertex_declaration.cpp
2022-12-01 18:44:41.491:   ERROR: DirectoryWatcher::addChild: tried to replace existing watcher primitive_manager.cpp
2022-12-01 18:44:41.491:   ERROR: DirectoryWatcher::addChild: tried to replace existing watcher render_system_resource_management.cpp
2022-12-01 18:44:41.491:   ERROR: DirectoryWatcher::addChild: tried to replace existing watcher scene_shared_resources.cpp
2022-12-01 18:44:41.491:   ERROR: DirectoryWatcher::addChild: tried to replace existing watcher vertices_manager.cpp
2022-12-01 18:44:41.491:   ERROR: DirectoryWatcher::addChild: tried to replace existing watcher visual_manager.cpp
2022-12-01 18:44:41.491:   ERROR: DirectoryWatcher::addChild: tried to replace existing watcher managed_effect.cpp
2022-12-01 18:44:41.491:   ERROR: DirectoryWatcher::addChild: tried to replace existing watcher managed_texture.cpp
2022-12-01 18:44:41.491:   ERROR: DirectoryWatcher::addChild: tried to replace existing watcher animating_texture.cpp
2022-12-01 18:44:41.491:   ERROR: DirectoryWatcher::addChild: tried to replace existing watcher sys_mem_texture.cpp
2022-12-01 18:44:41.491:   ERROR: DirectoryWatcher::addChild: tried to replace existing watcher render_target.cpp
2022-12-01 18:44:41.491:   ERROR: DirectoryWatcher::addChild: tried to replace existing watcher vertex_format_cache.cpp
2022-12-01 18:44:41.491:   ERROR: DirectoryWatcher::addChild: tried to replace existing watcher primitive.cpp
2022-12-01 18:44:41.491:   ERROR: DirectoryWatcher::addChild: tried to replace existing watcher vertices.cpp
2022-12-01 18:44:41.492:   ERROR: DirectoryWatcher::addChild: tried to replace existing watcher visual.cpp
2022-12-01 18:44:41.492:   ERROR: DirectoryWatcher::addChild: tried to replace existing watcher effect_material.cpp
2022-12-01 18:44:41.492:   ERROR: DirectoryWatcher::addChild: tried to replace existing watcher drr_render_target.cpp
2022-12-01 18:44:41.492:   ERROR: DirectoryWatcher::addChild: tried to replace existing watcher primitive_file.cpp
2022-12-01 18:44:41.492:   ERROR: DirectoryWatcher::addChild: tried to replace existing watcher vertex_streams.cpp
2022-12-01 18:44:41.492:   ERROR: DirectoryWatcher::addChild: tried to replace existing watcher dataresource.cpp
2022-12-01 18:44:41.492:   ERROR: DirectoryWatcher::addChild: tried to replace existing watcher data_section_census.cpp
2022-12-01 18:44:41.492:   ERROR: DirectoryWatcher::addChild: tried to replace existing watcher binary_block.cpp
2022-12-01 18:44:41.492:   ERROR: DirectoryWatcher::addChild: tried to replace existing watcher datasection.cpp
2022-12-01 18:44:41.492:   ERROR: DirectoryWatcher::addChild: tried to replace existing watcher xml_section.cpp
2022-12-01 18:44:41.492:   ERROR: DirectoryWatcher::addChild: tried to replace existing watcher bin_section.cpp
2022-12-01 18:44:41.492:   ERROR: DirectoryWatcher::addChild: tried to replace existing watcher packed_section.cpp
2022-12-01 18:44:41.492:   ERROR: DirectoryWatcher::addChild: tried to replace existing watcher xml_special_chars.cpp
2022-12-01 18:44:41.492:   ERROR: DirectoryWatcher::addChild: tried to replace existing watcher xml_import_loader.cpp
2022-12-01 18:44:41.492:   ERROR: DirectoryWatcher::addChild: tried to replace existing watcher windowing_winapi.cpp
2022-12-01 18:44:41.492:   ERROR: DirectoryWatcher::addChild: tried to replace existing watcher interface.cpp
2022-12-01 18:44:41.492:   ERROR: DirectoryWatcher::addChild: tried to replace existing watcher resource_creator.cpp
2022-12-01 18:44:41.492:   ERROR: DirectoryWatcher::addChild: tried to replace existing watcher resource_operations.cpp
2022-12-01 18:44:41.492:   ERROR: DirectoryWatcher::addChild: tried to replace existing watcher utils.cpp
2022-12-01 18:44:41.492:   ERROR: DirectoryWatcher::addChild: tried to replace existing watcher utils_device.cpp
2022-12-01 18:44:41.492:   ERROR: DirectoryWatcher::addChild: tried to replace existing watcher utils.cpp
2022-12-01 18:44:41.492:   ERROR: DirectoryWatcher::addChild: tried to replace existing watcher utils_format.cpp
2022-12-01 18:44:41.492:   ERROR: DirectoryWatcher::addChild: tried to replace existing watcher utils_device.cpp
2022-12-01 18:44:41.492:   ERROR: DirectoryWatcher::addChild: tried to replace existing watcher static_model_sequence_wrapper.cpp
2022-12-01 18:44:41.492:   ERROR: DirectoryWatcher::addChild: tried to replace existing watcher particle_system_action.cpp
2022-12-01 18:44:41.492:   ERROR: DirectoryWatcher::addChild: tried to replace existing watcher particle_system.cpp
2022-12-01 18:44:41.492:   ERROR: DirectoryWatcher::addChild: tried to replace existing watcher terrain_renderer2.cpp
2022-12-01 18:44:41.492:   ERROR: DirectoryWatcher::addChild: tried to replace existing watcher terrain_block2.cpp
2022-12-01 18:44:41.493:   ERROR: DirectoryWatcher::addChild: tried to replace existing watcher base_terrain_block.cpp
2022-12-01 18:44:41.493:   ERROR: DirectoryWatcher::addChild: tried to replace existing watcher terrain_index_buffer.cpp
2022-12-01 18:44:41.493:   ERROR: DirectoryWatcher::addChild: tried to replace existing watcher terrain_photographer.cpp
2022-12-01 18:44:41.493:   ERROR: DirectoryWatcher::addChild: tried to replace existing watcher vertex_lod_entry.cpp
2022-12-01 18:44:41.493:   ERROR: DirectoryWatcher::addChild: tried to replace existing watcher terrain_vertex_lod.cpp
2022-12-01 18:44:41.493:   ERROR: DirectoryWatcher::addChild: tried to replace existing watcher terrain_texture_layer.cpp
2022-12-01 18:44:41.493:   ERROR: DirectoryWatcher::addChild: tried to replace existing watcher editor_base_terrain_block.cpp
2022-12-01 18:44:41.493:   ERROR: DirectoryWatcher::addChild: tried to replace existing watcher horizon_shadow_map2.cpp
2022-12-01 18:44:41.493:   ERROR: DirectoryWatcher::addChild: tried to replace existing watcher editor_vertex_lod_manager.cpp
